no,title,rating,genre,date_published,duration
1,The Shawshank Redemption,9.2,Drama,1994-10-14,142
2,The Godfather,9.2,Crime,1972-03-24,175
3,The Dark Knight,9.0,Action,2008-07-18,152
4,The Godfather Part II,9.0,Crime,1974-12-18,202
5,12 Angry Men,9.0,Crime,1957-04-10,96
6,Schindler's List,8.9,Biography,1994-02-04,195
7,The Lord of the Rings: The Return of the King,8.9,Action,2003-12-17,201
8,Pulp Fiction,8.8,Crime,1994-10-14,154
9,The Lord of the Rings: The Fellowship of the Ring,8.8,Action,2001-12-19,178
10,"The Good, the Bad and the Ugly",8.8,Adventure,1967-12-29,178
11,Forrest Gump,8.8,Drama,1994-07-06,142
12,Spider-Man: Across the Spider-Verse,8.8,Animation,2023-06-02,140
13,Fight Club,8.7,Drama,1999-10-15,139
14,The Lord of the Rings: The Two Towers,8.7,Action,2002-12-18,179
15,Inception,8.7,Action,2010-07-16,148
16,Star Wars: Episode V - The Empire Strikes Back,8.7,Action,1980-06-18,124
17,The Matrix,8.7,Action,1999-03-31,136
18,Goodfellas,8.7,Biography,1990-09-21,145
19,One Flew Over the Cuckoo's Nest,8.6,Drama,1975-11-19,133
20,Se7en,8.6,Crime,1995-09-22,127
21,It's a Wonderful Life,8.6,Drama,1947-01-07,130
22,Seven Samurai,8.6,Action,1956-11-19,207
23,The Silence of the Lambs,8.6,Crime,1991-02-14,118
24,Saving Private Ryan,8.6,Drama,1998-07-24,169
25,City of God,8.6,Crime,2004-02-13,130
26,Interstellar,8.6,Adventure,2014-11-07,169
27,Life Is Beautiful,8.6,Comedy,1997-12-20,116
28,The Green Mile,8.6,Crime,1999-12-10,189
29,Star Wars: Episode IV - A New Hope,8.5,Action,1977-05-25,121
30,Terminator 2: Judgment Day,8.5,Action,1991-07-03,137
31,Back to the Future,8.5,Adventure,1985-07-03,116
32,Spirited Away,8.5,Animation,2003-03-28,125
33,The Pianist,8.5,Biography,2003-03-28,150
34,Psycho,8.5,Horror,1960-09-08,109
35,Parasite,8.5,Drama,2019-11-08,132
36,Léon: The Professional,8.5,Action,1994-11-18,110
